repo,layer,schema_language,call_shape,enforcement,retry_on_validation_failure,source_grounding,confidence_scores,batch_support,providers,license,notable,evidence_url
eth-sri/lmql,constrained-decoding,"custom DSL: `where` constraint expressions (INT, REGEX, STOPS_AT, `in set([...])`, len(TOKENS(V))); dataclasses via lmql.lib.types","lmql.F(""Say 'this is a test': [RESPONSE]"", ""len(TOKENS(RESPONSE)) < 10"")",constrained-decoding,False,False,True,True,"OpenAI, Azure OpenAI, HuggingFace Transformers, llama.cpp, Replicate",Apache-2.0,Constraints compile to eager token masks; `distribution` clause yields P(VAR) over enumerated candidate values,https://raw.githubusercontent.com/eth-sri/lmql/HEAD/src/lmql/api/queries.py
eyurtsev/kor,extraction-primitive,Kor Object/Text/Number/Bool/Selection nodes (pydantic-typed); pydantic BaseModel via from_pydantic,"create_extraction_chain(llm, schema, encoder_or_encoder_class='json').invoke(""play songs by paul simon and led zeppelin and the doors"")['data']",prompt-and-parse,False,False,False,True,"any LangChain BaseLanguageModel (OpenAI, Anthropic, local, etc.)",MIT,Swappable output encoder (CSV/JSON/XML); returns errors beside partial data instead of retrying the model,https://raw.githubusercontent.com/eyurtsev/kor/HEAD/README.md
google/langextract,extraction-primitive,few-shot lx.data.ExampleData/Extraction dataclasses (schema inferred from examples); optional JSON Schema via output_schema,"result = lx.extract(text_or_documents=input_text, prompt_description=prompt, examples=examples, model_id=""gemini-3.5-flash"")",provider-structured-outputs,False,True,False,True,"Gemini, OpenAI, Ollama, plus pluggable custom/community providers",Apache-2.0,Every extracted value is fuzzy-aligned back to exact source char offsets; unalignable ones get char_interval=None,https://raw.githubusercontent.com/google/langextract/main/README.md
guardrails-ai/guardrails,extraction-primitive,"pydantic BaseModel (also JSON Schema, or RAIL XML spec via for_rail)","guard = Guard.for_pydantic(output_class=Orders); res = guard(model=""gpt-5"", messages=[{""role"": ""user"", ""content"": prompt}])",mixed,True,False,False,True,"LiteLLM (100+ models), OpenAI, Anthropic, HuggingFace pipelines/models, Manifest, arbitrary callable",Apache-2.0,"Hub validators attach per field; on failure it reasks only the bad values, not the whole schema.",https://raw.githubusercontent.com/guardrails-ai/guardrails/HEAD/docs/examples/generate_structured_data.ipynb
guidance-ai/guidance,constrained-decoding,pydantic BaseModel / JSON Schema for gen_json; regex and composable CFG via @guidance(stateless=True) functions,"from guidance import json as gen_json; lm += gen_json(name=""bp"", schema=BloodPressure)",mixed,False,False,True,False,"Transformers, llama.cpp, OpenAI, Azure AI, ONNX Runtime GenAI, Mock",MIT,"Grammar is interleaved with the prompt, and tokens the grammar already determines are fast-forwarded, skipping forward passes",https://raw.githubusercontent.com/guidance-ai/guidance/HEAD/README.md
jackmpcollins/magentic,extraction-primitive,"pydantic BaseModel or any pydantic-supported Python type, declared as the function's return annotation","@prompt(""Create a Superhero named {name}."") / def create_superhero(name: str) -> Superhero: ... / create_superhero(""Garden Man"")",function-tool-calling,True,False,False,True,"OpenAI, Anthropic, LiteLLM (100+); OpenAI-compatible: Ollama, Gemini, xAI, Mistral, OpenRouter",MIT,"No extract() call exists; the schema IS the decorated stub's return annotation, and structured output can stream.",https://raw.githubusercontent.com/jackmpcollins/magentic/HEAD/README.md
jndiogo/sibila,extraction-primitive,"pydantic BaseModel, dataclass, or plain Python types (bool/int/float/str, Literal, Enum, list[T], datetime), optionally Annotated[T, ""desc""]","model = Models.create(""llamacpp:openchat""); model.extract(Info, ""Who was the first man in the moon?"")",mixed,False,False,False,True,"local llama.cpp/GGUF, OpenAI, Anthropic, Mistral, Groq, Fireworks, Together",MIT,"Ships its own JSON-Schema-to-GBNF converter, so local models are grammar-constrained rather than prompt-coaxed.",https://raw.githubusercontent.com/jndiogo/sibila/HEAD/README.md
katanaml/sparrow,document-ingestion,"JSON-by-example DSL — a sample JSON whose values are type tokens (""str"", 0, 0.0, ""str or null""), compiled into a real JSON Schema by JSONValidator and checked with jsonschema.validate","./sparrow.sh '[{""instrument_name"":""str"", ""valuation"":0}]' --pipeline ""sparrow-parse"" --options mlx --options mlx-community/Qwen2.5-VL-72B-Instruct-4bit --file-path ""data/bonds_table.png""",prompt-and-parse,False,True,True,False,"MLX, Ollama, vLLM, Hugging Face Spaces, local GPU, Mistral OCR cloud — all self-hosted VLMs except Mistral",GPL-3.0 (dual-licensed; commercial license required above $5M revenue),"Schema is a JSON example with type tokens; validation is post-hoc, reported as a valid field",https://raw.githubusercontent.com/katanaml/sparrow/main/README.MD
microsoft/TypeChat,extraction-primitive,TypeScript interface source (also Zod via typechat/zod; Python port uses TypedDict/dataclass/pydantic),"const response = await createJsonTranslator(model, createTypeScriptJsonValidator<SentimentResponse>(schema, ""SentimentResponse"")).translate(request);",prompt-and-parse,True,False,False,False,"OpenAI, Azure OpenAI; any other via custom TypeChatLanguageModel",MIT,"Schema is TypeScript source in the prompt; the TypeScript compiler validates the reply, one repair turn fixes it",https://raw.githubusercontent.com/microsoft/TypeChat/HEAD/typescript/examples/sentiment/src/main.ts
mishushakov/llm-scraper,web-extraction,"zod (or JSON Schema), wrapped in AI SDK Output.object","const { data } = await scraper.run(page, Output.object({ schema }), { format: 'raw_html' })",provider-structured-outputs,False,False,False,False,"OpenAI, Anthropic, Google, Groq, Ollama (any Vercel AI SDK provider)",MIT,"Thin wrapper over Vercel AI SDK; six input formats including screenshots, plus Playwright code-generation mode.",https://raw.githubusercontent.com/mishushakov/llm-scraper/HEAD/examples/hn.ts
mlc-ai/xgrammar,constrained-decoding,"pydantic BaseModel or JSON Schema string; also EBNF, Lark, and structural tags","compiled = xgr.GrammarCompiler(tokenizer_info).compile_json_schema(Person); model.generate(**model_inputs, logits_processor=[xgr.contrib.hf.LogitsProcessor(compiled)])",constrained-decoding,False,False,False,True,"HF transformers, vLLM, SGLang, TensorRT-LLM, MLC-LLM, OpenVINO GenAI, Modular MAX, WebLLM",Apache-2.0,"CPU bitmask generation overlaps the GPU forward pass, so masking adds near-zero decode latency",https://raw.githubusercontent.com/mlc-ai/xgrammar/HEAD/docs/start/quick_start.md
noamgat/lm-format-enforcer,constrained-decoding,pydantic BaseModel (.schema()) or JSON Schema dict; also regex strings,"hf_pipeline(prompt, prefix_allowed_tokens_fn=build_transformers_prefix_allowed_tokens_fn(hf_pipeline.tokenizer, JsonSchemaParser(AnswerFormat.schema())))",constrained-decoding,False,False,False,True,"HF transformers, vLLM, llama.cpp, ExLlamaV2, TensorRT-LLM, LangChain, LlamaIndex, Haystack",MIT,"Allows any token sequence that parses, so the model keeps control of whitespace and field order",https://raw.githubusercontent.com/noamgat/lm-format-enforcer/HEAD/README.md
pydantic/pydantic-ai,agent-framework,"pydantic BaseModel (also dataclasses, TypedDict, StructuredDict, scalars, unions/lists of types)","agent = Agent('google:gemini-3-flash-preview', output_type=CityLocation); result = agent.run_sync('Where were the olympics held in 2012?')",mixed,True,False,False,True,"OpenAI, Anthropic, Google, Groq, Mistral, Cohere, DeepSeek, Bedrock, Ollama, HuggingFace, LiteLLM, 25+",MIT,"Three selectable output modes - tool call (default), native JSON schema, prompted - picked per type via marker classes.",https://raw.githubusercontent.com/pydantic/pydantic-ai/HEAD/docs/output.md
shcherbak-ai/contextgem,document-ingestion,"Pydantic v2 declarative concept classes (StringConcept, JsonObjectConcept, BooleanConcept, RatingConcept, LabelConcept...)","doc = Document(raw_text=""...""); doc.concepts = [StringConcept(name=""Anomalies"", description=""Anomalies in the document"", add_references=True, reference_depth=""sentences"")]; doc = llm.extract_all(doc)",prompt-and-parse,True,True,False,True,"LiteLLM-backed: OpenAI, Anthropic, Google, Azure, Ollama, LM Studio, etc.",Apache-2.0,"You never write a prompt or schema; natural-language concept descriptions generate prompts, references, and justifications",https://raw.githubusercontent.com/shcherbak-ai/contextgem/main/dev/usage_examples/readme/quickstart_concept.py
