full_name,url,stars,forks,language,domain,what_it_extracts,created,last_activity,current_mechanism,hand_rolled,volume_signals
yYorky/LlamaOCR,https://github.com/yYorky/LlamaOCR,13,6,Python,invoices/finance,"Effortlessly process invoices with AI! This project uses the Llama3.2 Vision Model for OCR, converting invoice images into structured, machine-readable tables. Designed for accountants, it automates d",2024-12-09,2026-07-26,none shown,yes,ocr_vision;eval
2389-research/summarize-meetings,https://github.com/2389-research/summarize-meetings,12,1,,knowledge graph,"Batch-process meeting transcripts from Obsidian vault into structured summaries with knowledge graph updates, people notes, and concept extraction",2026-04-02,2026-07-21,none shown,yes,batch
dharun36/webscraping-craw4ai,https://github.com/dharun36/webscraping-craw4ai,8,3,Python,e-commerce,"An intelligent AI-powered web crawler that extracts structured product data from e-commerce websites using large language models, transforming complex HTML pages into actionable product insights.",2025-08-10,2026-08-06,none shown,yes,batch;web_scrape
giruu/TesserXtract.AI,https://github.com/giruu/TesserXtract.AI,7,0,Python,invoices/finance,"This Flask application empowers users to seamlessly upload image files like invoices or receipts, extract text using robust OCR technologies, and efficiently isolate key fields using precise regular e",2023-12-26,2025-10-21,none shown,yes,batch;ocr_vision;web_scrape;eval
OmriSR/job-scraper,https://github.com/OmriSR/job-scraper,7,1,Python,jobs/recruiting,Scrapes ATS APIs to find & rank relevant jobs for a CV. Uses Ollama & LangChain for entity extraction and ChromaDB for semantic vector similarity. A full local ML pipeline using Python and SQLite,2025-12-14,2026-01-27,none shown,yes,pdf;web_scrape
aryan-Patel-web/Velocity-AI-Funds-PDF-to-Excel-Sheet,https://github.com/aryan-Patel-web/Velocity-AI-Funds-PDF-to-Excel-Sheet,5,0,Python,invoices/finance,This is a production-ready web application that extracts structured financial data from Private Equity Fund quarterly reports (PDF format) using Large Language Models (LLMs) and outputs the data into ,2025-10-14,2026-07-30,none shown,yes,batch;pdf;ocr_vision;eval
nnitiwe-dev/youtube-codelabs,https://github.com/nnitiwe-dev/youtube-codelabs,5,3,Jupyter Notebook,jobs/recruiting,"This repository is packed with practical, beginner-friendly codelabs that bring AI and coding concepts to life. From extracting job applicant details with OpenAI’s Function Calling (think resume parsi",2025-03-29,2025-11-11,none shown,yes,web_scrape;eval
Rayyan9477/Agentic-Document-Extraction-PDF,https://github.com/Rayyan9477/Agentic-Document-Extraction-PDF,4,0,Python,medical,"An agentic, zero‑shot document intelligence engine that sees, understands, and extracts from any PDF, no training, no hallucinations. Just define your fields and get trusted, structured outputs with c",2025-08-19,2026-07-02,grammar_constrained;openai_structured_outputs;tool_calling,yes,batch;pdf;ocr_vision;eval
Ja-yy/Invoice-extractor,https://github.com/Ja-yy/Invoice-extractor,4,1,Python,invoices/finance,"Streamlit app leveraging OpenAI's LLM for accurate invoice extraction, supporting PDF files and offering JSON/CSV outputs.",2024-04-24,2026-04-13,langchain_sto,no,pdf;eval
puyu111/easy_dataset_pro,https://github.com/puyu111/easy_dataset_pro,4,0,Python,knowledge graph,"Easy Dataset Pro turns raw documents into high-quality LLM fine-tuning data. It parses PDFs/DOCXs via OCR, filters and compresses content, then builds a knowledge graph of entities and relationships. ",2026-06-07,2026-06-08,tool_calling,yes,batch;pdf;ocr_vision;eval
coding-chemist/SmartHire,https://github.com/coding-chemist/SmartHire,4,1,Python,jobs/recruiting,LLM-based resume screening with structured candidate ranking + SWOT analysis. Streamlit · Groq Gemma 2-9B · MongoDB. Evidence-first — the human still decides.,2025-03-12,2026-06-13,none shown,yes,pdf;eval
ArkNill/docpick,https://github.com/ArkNill/docpick,3,3,Python,ID/forms;invoices/finance,Lightweight OCR + Local LLM → Schema-based Structured JSON Extraction,2026-03-16,2026-06-30,openai_structured_outputs,yes,batch;pdf;ocr_vision
KR2208/VLM-LLM-OCR-Extractor,https://github.com/KR2208/VLM-LLM-OCR-Extractor,3,0,Python,research papers,Multi-GPU scientific paper data extraction pipeline using Qwen3-VL and Qwen2.5-LLM for OCR and structured data extraction,2025-11-12,2026-04-15,none shown,yes,batch;pdf;ocr_vision;eval
lazzaoui-Y1/ai-ap-automation-agent,https://github.com/lazzaoui-Y1/ai-ap-automation-agent,3,0,Python,invoices/finance,An intelligent AI-powered Invoice Processing Agent that automates extraction of structured data from PDF/image invoices (Arabic & French & English) using OCR and Groq's Llama-3.3-70B LLM. Features mul,2025-12-13,2026-06-26,none shown,yes,pdf;ocr_vision
lalitofficial/Loan-Invoice-Document-AI,https://github.com/lalitofficial/Loan-Invoice-Document-AI,3,0,Python,invoices/finance,"Loan-Invoice Document AI (IDFC Convolve 4.0) — five-stage async pipeline parsing tractor-loan PDFs: PaddleOCR/Tesseract OCR, YOLOv8 signature + DETR stamp detection, and LLM extraction to validated JS",2026-01-01,2026-06-12,none shown,yes,batch;pdf;ocr_vision
HarperZ9/gather,https://github.com/HarperZ9/gather,3,0,Python,research papers,"Research intake that reaches the hard places: web, video, papers, scanned PDFs, browser, OCR, and audio into structured research packets. DOM extraction and change tracking built in; provenance rides ",2026-06-25,2026-08-01,none shown,yes,batch;pdf;ocr_vision;web_scrape;eval
emtinanseo/Prompt-Engineering,https://github.com/emtinanseo/Prompt-Engineering,3,0,Jupyter Notebook,jobs/recruiting,Strategies to generate prompts for Large Language Models for web pages classification and entity extraction from job descriptions.,2022-09-14,2024-03-03,none shown,yes,
xansar1/Ai-resume-screening,https://github.com/xansar1/Ai-resume-screening,3,0,Jupyter Notebook,jobs/recruiting,"A FastAPI + Streamlit app that extracts text from resumes (PDF), parses candidate details (name, email, skills, experience, education) using OpenAI, and displays structured JSON output for easy screen",2025-09-12,2026-04-12,none shown,yes,pdf
GiulioLecci11/OCR_ReceiptScanner,https://github.com/GiulioLecci11/OCR_ReceiptScanner,3,0,PowerShell,invoices/finance,"This project extracts structured data from store receipts using OCR and AI. It preprocesses receipt images with OpenCV, extracts text using Tesseract, and parses it into a detailed JSON object with Op",2024-12-15,2025-08-19,none shown,yes,ocr_vision;eval
mahikshith/LLM_RESUME_PARSER,https://github.com/mahikshith/LLM_RESUME_PARSER,3,1,Jupyter Notebook,jobs/recruiting,Parse resume with local LLM [ollama] in JSON format,2024-12-23,2025-07-19,none shown,yes,web_scrape
gysmuller/cv-parser,https://github.com/gysmuller/cv-parser,2,0,Ruby,jobs/recruiting,A Ruby gem for parsing and extracting structured information from CVs/resumes using LLM providers.,2025-06-01,2026-01-22,openai_structured_outputs,yes,batch;pdf;eval
emredeveloper/invoice-ai-extractor,https://github.com/emredeveloper/invoice-ai-extractor,2,0,Python,invoices/finance,"Invoice AI Extractor is an AI-powered tool that extracts structured data from invoices automatically. It combines OCR and modern language models to transform unstructured invoice documents into clean,",2025-12-29,2026-05-10,none shown,yes,batch;pdf;ocr_vision
bikram73/Document_Extract_AI,https://github.com/bikram73/Document_Extract_AI,2,0,TypeScript,invoices/finance,"📄 DocExtract AI - An AI-powered document data extraction platform that converts invoices, receipts, and purchase orders into structured JSON using OCR and intelligent multi-model AI processing. It fea",2026-07-08,2026-07-15,none shown,yes,pdf;ocr_vision;eval
beratfoglu/NYX,https://github.com/beratfoglu/NYX,2,0,TypeScript,knowledge graph;medical;research papers,"Local research assistant with a custom fine-tuned LLM, document-grounded RAG, and biomedical knowledge graph extraction — powered by Phi-4-mini + QLoRA, LangGraph, ChromaDB, and Next.js.",2026-08-07,2026-08-11,none shown,yes,pdf;eval
bedapub/sr-domain,https://github.com/bedapub/sr-domain,2,0,Python,medical,"Pipeline for extracting structured toxicology findings from preclinical study reports using LLMs with controlled generation. Converts PDF reports to markdown, extracts findings via Azure OpenAI with P",2026-02-17,2026-06-18,none shown,yes,batch;pdf
NudratDS/ClinicalDx-From-Discharge-Notes-to-ICD-10-Coding-Using-NLP-and-LLMs,https://github.com/NudratDS/ClinicalDx-From-Discharge-Notes-to-ICD-10-Coding-Using-NLP-and-LLMs,2,0,,medical,Transforming unstructured clinical notes into structured diagnosis codes using NLP and large language models.,2026-04-28,2026-06-03,prompt_and_parse,yes,eval
iristap/Relatiq-AI,https://github.com/iristap/Relatiq-AI,2,1,Jupyter Notebook,knowledge graph,Relatiq AI is a powerful financial news analysis tool that leverages Knowledge Graph technology and Generative AI to transform unstructured news into structured insights.,2025-11-03,2026-03-27,none shown,yes,
suranjitpartho/clinical-data-intelligence-system,https://github.com/suranjitpartho/clinical-data-intelligence-system,2,0,Python,medical,"An AI Agent for clinical data intelligence. Built with LangGraph, FastAPI, and pgvector to unify structured SQL records and unstructured clinical notes via a self-healing, schema-aware reasoning engin",2026-04-10,2026-05-31,none shown,yes,batch;eval
haneenfadi/receipt-ocr-pipeline,https://github.com/haneenfadi/receipt-ocr-pipeline,2,0,Python,invoices/finance,"ReceiptVision converts receipt images into structured JSON using image preprocessing, OCR, and an LLM parser. It includes a Streamlit UI for uploads and an Arabic Receipts Assistant that answers quest",2026-01-03,2026-07-18,none shown,yes,ocr_vision;eval
renasalp-cloud/ai-career-coach,https://github.com/renasalp-cloud/ai-career-coach,2,0,Python,jobs/recruiting,"AI powered CV analyzer and career coach using local LLMs (Ollama), structured CV parsing, and personalized career recommendations.",2026-07-06,2026-08-03,none shown,yes,pdf
tylo-git/paper-extraction-MCP,https://github.com/tylo-git/paper-extraction-MCP,2,0,Python,research papers,An MCP server for structured information extraction from academic PDF papers using LLM. Customizable for any research domain.,2026-03-30,2026-05-13,none shown,yes,batch;pdf
foudhilriahi/AIDocumentExtractorPro,https://github.com/foudhilriahi/AIDocumentExtractorPro,2,0,Python,invoices/finance,"Offline Intelligent Document Parser Extracts structured data from invoices, receipts, and scanned documents using OCR + AI models (FLAN-T5, LayoutLM). Works offline. Exports to JSON, Excel, and SQLite",2025-06-28,2026-04-06,none shown,yes,ocr_vision;eval
trinhminhds/Extracting-Structured-Data-From-PDFs,https://github.com/trinhminhds/Extracting-Structured-Data-From-PDFs,2,0,Python,research papers,"This lecture presents a step-by-step guide to building a Python AI project for extracting structured data from PDFs, using OpenAI's large language models (LLMs), LangChain, ChromaDB, and Docker.",2025-02-18,2025-09-22,none shown,yes,pdf
Nick4978/InvoiceParserAI-Solution,https://github.com/Nick4978/InvoiceParserAI-Solution,2,1,C#,invoices/finance,"AI-powered invoice parser with editable review flow and CSV export. Built with Avalonia (Desktop) and Blazor (Web), powered by OpenAI + OCR.",2025-07-20,2025-12-29,none shown,yes,batch;pdf;ocr_vision
codergoel/Multi-Agent-Knowledge-Graph-Audit-Construction-System,https://github.com/codergoel/Multi-Agent-Knowledge-Graph-Audit-Construction-System,2,1,Python,knowledge graph,"A multi-agent system for building and auditing knowledge graphs from structured (CSV) and unstructured (Markdown) data. Uses Google ADK with LLM agents to automate schema design, data validation, enti",2025-12-12,2026-08-10,none shown,yes,batch;eval
Sarfarazzzzz/Sentinel-Health,https://github.com/Sarfarazzzzz/Sentinel-Health,2,0,Python,medical,"FDA MAUDE adverse-event surveillance: 4.6M reports, entity resolution, LLM narrative extraction, and self-controlled signal detection with reporting-artifact guards",2026-07-13,2026-08-03,none shown,yes,batch;eval
pegahmn/KG-Gen,https://github.com/pegahmn/KG-Gen,2,0,Python,knowledge graph,KG-Gen (Knowledge Graph Generator): Extracts structured knowledge graphs from unstructured text using Google Gemini LLMs and the LangChain framework. Features include customizable node/relationship ex,2025-07-01,2025-12-17,none shown,yes,
vaibhavpandeyvpz/resumption,https://github.com/vaibhavpandeyvpz/resumption,2,0,Python,jobs/recruiting,Dockerized microservice to extract information from PDF resumes of different kind and transform it into uniform JSON structure to be used for further automation.,2024-06-23,2024-06-27,none shown,yes,pdf
itsmrajguru/GuruAI,https://github.com/itsmrajguru/GuruAI,2,0,JavaScript,jobs/recruiting,"GuruAI is the AI microservice of the CareerSync ecosystem, designed to offload LLM processing from the main platform. It analyzes PDF resumes, performs ATS parsing, extracts skills and insights, and r",2026-03-20,2026-06-09,none shown,yes,batch;pdf
sohansanjeev/clinical-intake-pipeline-project,https://github.com/sohansanjeev/clinical-intake-pipeline-project,1,0,Python,medical,LLM-powered structured data extraction from MIMIC-IV clinical notes. LangChain + DeepSeek + Streamlit dashboard.,2026-06-14,2026-06-18,langchain_sto;openai_structured_outputs,no,batch;eval
GouravJr/rag-document-intelligence,https://github.com/GouravJr/rag-document-intelligence,1,0,Python,invoices/finance,"RAG + OCR pipeline for intelligent document analysis. Upload PDFs, ask questions, extract structured data.",2026-04-01,2026-04-01,none shown,yes,pdf;ocr_vision
fauzan111/Document-Intelligence-ERP-Integration-Agent,https://github.com/fauzan111/Document-Intelligence-ERP-Integration-Agent,1,0,Python,invoices/finance,"An agent that ingests invoices or contracts (PDF/scanned image), extracts structured data via OCR + LLM, validates it against deterministic business rules (VAT number format, totals reconciliation, re",2026-07-29,2026-07-29,none shown,yes,pdf;ocr_vision;eval
nmousavi2020/DocIntel-AI,https://github.com/nmousavi2020/DocIntel-AI,1,0,,research papers,"DocIntel AI — LLM-powered enterprise document intelligence platform using hybrid RAG, BGE-M3, BM25, Qdrant, BGE reranking, and locally hosted Qwen 2.5 for privacy-focused, citation-grounded PDF QA and",2026-08-14,2026-08-14,none shown,yes,pdf;ocr_vision;eval
Hesam-lab/llm-epilepsy-clinical-text-extraction,https://github.com/Hesam-lab/llm-epilepsy-clinical-text-extraction,1,0,Jupyter Notebook,medical,Local LLM-based extraction of structured epilepsy-related information from synthetic clinical notes using Ollama and Pydantic.,2026-05-19,2026-05-19,none shown,yes,eval
Emaad2405/genAI-key-information-extraction-pipeline-and-evaluation,https://github.com/Emaad2405/genAI-key-information-extraction-pipeline-and-evaluation,1,0,Python,legal,"An end-to-end Generative AI pipeline for extracting structured data from unstructured text, complete with an automated evaluation and confidence calibration suite.",2026-07-28,2026-07-28,none shown,yes,ocr_vision;eval
susu6666666666/docstruct-extractor,https://github.com/susu6666666666/docstruct-extractor,1,0,Python,jobs/recruiting,"Schema-driven batch information extraction from PDF/Word/PPT/TXT documents with LLM (DeepSeek). Define fields in one JSON file, get structured Excel/CSV output. Built-in scenarios: resume, contract, p",2026-08-09,2026-08-09,none shown,yes,batch;pdf
givenglorious/ocr-llm-extractor,https://github.com/givenglorious/ocr-llm-extractor,1,0,Python,invoices/finance,"Turn receipt photos/PDFs into structured, categorized data using OCR + LLM, exported straight to Excel.",2026-07-08,2026-07-16,none shown,yes,batch;pdf;ocr_vision;web_scrape
shrutikakapade/ResuMind-AI-LLM-Powered-Resume-Intelligence-Structured-Data-Generator,https://github.com/shrutikakapade/ResuMind-AI-LLM-Powered-Resume-Intelligence-Structured-Data-Generator,1,0,Python,jobs/recruiting,"ResuMind AI is an LLM-powered resume analysis system that processes bulk PDF and DOCX resumes from ZIP files and converts unstructured content into structured CSV data. Built with LangChain, Gemini, a",2026-01-26,2026-02-11,none shown,yes,batch;pdf
GangHack/smart-invoice-extractor,https://github.com/GangHack/smart-invoice-extractor,1,0,Python,invoices/finance,"AI-powered invoice data extraction system with multi-OCR support (Mathpix, Tesseract, Claude Vision). Converts PDF invoices into structured JSON/CSV with validation in ~5 seconds. Built with Claude AP",2026-01-27,2026-02-23,none shown,yes,batch;pdf;ocr_vision
sohaibdevv/Resume-Optimization-Utility-Design,https://github.com/sohaibdevv/Resume-Optimization-Utility-Design,1,0,Python,jobs/recruiting,Small Python utility that uses an LLM (via OpenAI) to compare resume_text against a job_description and returns a structured JSON critique matching the required schema.,2026-06-06,2026-06-06,none shown,yes,
codethegap/swell-llm-importer,https://github.com/codethegap/swell-llm-importer,1,0,Python,e-commerce,Designed to convert unstructured product information into structured JSON for importing into the Swell eCommerce platform.,2024-10-08,2024-10-08,none shown,yes,batch;pdf;web_scrape
alaaotay8/cv-insight-extractor,https://github.com/alaaotay8/cv-insight-extractor,1,0,HTML,jobs/recruiting,"FastAPI app that extracts structured data from CVs using OCR + LLMs, then generates validated profiles automatically. ​ Uses Tesseract OCR with a Hugging Face fallback for robust text extraction, plus",2025-06-04,2025-12-30,none shown,yes,pdf;ocr_vision
vityasyyy/cskg,https://github.com/vityasyyy/cskg,1,5,Python,knowledge graph;logs/security,"Cybersecurity Knowledge Graph from unstructured data — automated threat intelligence extraction, STIX ontology mapping, and knowledge graph construction using LLMs",2025-11-12,2026-05-18,none shown,yes,web_scrape
adi2355/MCP-Resume-Editor,https://github.com/adi2355/MCP-Resume-Editor,1,1,Python,jobs/recruiting,"MCP server system for AI-driven resume customization through LibreOffice UNO, dual stdio/HTTP deployment, structured job-description keyword extraction, and bookmark-preserving document editing via Cl",2025-05-14,2026-04-20,none shown,yes,web_scrape
avatar63/llm-doc-extract,https://github.com/avatar63/llm-doc-extract,1,0,Python,invoices/finance,LoRA fine-tuned Qwen2.5-0.5B for structured JSON extraction from noisy OCR receipts and invoices.,2026-06-23,2026-07-30,none shown,yes,batch;ocr_vision;web_scrape;eval
arthrod/clause-extract,https://github.com/arthrod/clause-extract,1,0,Python,legal,Clause-level extraction from legal contracts using NER and structured prompting.,2026-05-09,2026-05-18,none shown,yes,web_scrape;eval
BhaveshBytess/Research-Paper-Analyzer,https://github.com/BhaveshBytess/Research-Paper-Analyzer,1,0,Python,research papers,"Automated research paper analysis: PDF → JSON with evidence extraction using LLMs (DeepSeek, Gemma). Extracts methods, results, datasets, and claims with precise evidence grounding.",2025-08-30,2025-11-03,none shown,yes,batch;pdf;ocr_vision;web_scrape;eval
sjgant80-hub/docmind-api,https://github.com/sjgant80-hub/docmind-api,1,0,HTML,invoices/finance,"AI Document Intelligence API - receipts, invoices, bank statements, contracts to structured JSON. Multi-LLM backend.",2026-05-21,2026-07-10,none shown,yes,batch
joel710/Numera_ai,https://github.com/joel710/Numera_ai,1,0,HTML,invoices/finance," Numera is a self-hosted accounting intelligence system powered by an LLM agentic loop. It connects any OpenAI-compatible model to structured financial data, live web search, and user-uploaded documen",2026-06-05,2026-06-07,none shown,yes,pdf;ocr_vision;web_scrape;eval
atlarge-research/llm-cloud-incident-extraction,https://github.com/atlarge-research/llm-cloud-incident-extraction,1,0,Python,logs/security,"Artifact for ""Leveraging LLMs for Structured Information Extraction and Analysis from Cloud Incident Reports (Work In Progress Paper)"" (ICPE26 WIP)",2026-03-05,2026-03-06,none shown,yes,web_scrape;eval
AngeloBarletta/NewsNet-Knowledge-Graph-via-LLM,https://github.com/AngeloBarletta/NewsNet-Knowledge-Graph-via-LLM,1,0,Python,knowledge graph,"By transforming raw text into a structured knowledge graph, we can uncover hidden connections and patterns. Leveraging LLMs, researchers and analysts can achieve greater efficiency in information extr",2024-10-28,2026-02-19,none shown,yes,
vastavikadi/multimodal-job-extractor,https://github.com/vastavikadi/multimodal-job-extractor,1,0,Python,jobs/recruiting,"A multimodal data ingestion pipeline that converts Instagram job reels into structured job records using OCR, speech recognition, and LLM-powered information extraction.",2026-06-16,2026-06-18,none shown,yes,batch;ocr_vision;web_scrape
arslanvuzmal/invoice.data.extractor.ai,https://github.com/arslanvuzmal/invoice.data.extractor.ai,1,0,JavaScript,invoices/finance,"AI Invoice Data Extractor: Leverage LLMs and advanced OCR to automatically parse, validate, and extract structured JSON data from PDFs and receipts. Scalable document processing pipeline.",2026-07-13,2026-07-17,none shown,yes,pdf;ocr_vision
sholanejo/DocIntel,https://github.com/sholanejo/DocIntel,1,0,C#,ID/forms;invoices/finance,API that extracts structured data from pdfs using llm-powered analysis,2026-05-29,2026-06-12,none shown,yes,pdf;ocr_vision
Sravya2002/AI_Invoice_Automation_System,https://github.com/Sravya2002/AI_Invoice_Automation_System,1,0,Python,invoices/finance,"AI-powered invoice automation system with Playwright, LangChain, Azure OpenAI, OCR fallback pipelines, intelligent metadata extraction, validation workflows, and live sandbox monitoring dashboard.",2026-05-12,2026-05-13,none shown,yes,pdf;ocr_vision;web_scrape;eval
AvinashKrishnan19/ai-ocr-expense-analytics,https://github.com/AvinashKrishnan19/ai-ocr-expense-analytics,1,0,Python,invoices/finance,"Developed an AI-powered OCR Invoice Analytics System using Tesseract OCR, Ollama + Mistral LLM, SQLite, and Streamlit. Built an end-to-end pipeline for invoice extraction, JSON structuring, expense ca",2026-05-15,2026-05-15,none shown,yes,pdf;ocr_vision;eval
MITTALBHAVYA/InvoiceDetailsExtractor,https://github.com/MITTALBHAVYA/InvoiceDetailsExtractor,1,0,Python,invoices/finance,Invoice Extraction Application is a Python-based tool built with Streamlit for extracting and processing invoice details from PDFs and images. It uses OCR via PaddleOCR and Generative AI with Google's,2024-08-10,2025-04-16,none shown,yes,pdf;ocr_vision
sara-kanetkar/invoice-extractor-app,https://github.com/sara-kanetkar/invoice-extractor-app,1,0,Python,invoices/finance,"Developed a full-stack, AI-powered invoice extraction tool that automates the extraction and verification of key-value fields from invoice images. Leveraged cutting-edge OCR libraries (EasyOCR and Tes",2025-07-13,2025-07-31,none shown,yes,ocr_vision;eval
Govindcoderr/Autonomous-Document-Processing-ERP-Sync-System,https://github.com/Govindcoderr/Autonomous-Document-Processing-ERP-Sync-System,1,0,Python,invoices/finance,"This system is a fully automated AI-driven pipeline designed to extract, validate, and synchronize invoice data with enterprise systems in real time. It combines OCR, LLM-based field extraction, rule-",2025-11-19,2025-12-04,none shown,yes,pdf;ocr_vision;eval
vishwapatel24051/TechHire,https://github.com/vishwapatel24051/TechHire,1,0,JavaScript,jobs/recruiting,Full-stack job board aggregating software and internship listings via a Python scraper with dead-link validation and structured parsing. Three-model Groq pipeline generates job summaries; an AI resume,2026-05-21,2026-08-05,none shown,yes,batch;pdf;web_scrape
uclh-criu/shunt-registry-llm-data-extraction,https://github.com/uclh-criu/shunt-registry-llm-data-extraction,1,2,Python,medical,Functionality to extract structured data from text to populate the UK Shunt Registry (UKSR) database using Large Language Models (LLMs),2026-03-24,2026-04-16,none shown,yes,eval
Uyongo/extractingTextFromImages,https://github.com/Uyongo/extractingTextFromImages,1,0,Jupyter Notebook,invoices/finance,Beginner-friendly Python code for extracting structured data from PDF receipts using 'pdfplumber' and a Large Language Model (LLM). It builds a reference table with key expense details (without OCR mo,2025-09-14,2025-09-15,none shown,yes,pdf;ocr_vision
rdshyamvijay/openai-medical-transcriptions-structuring,https://github.com/rdshyamvijay/openai-medical-transcriptions-structuring,1,0,Jupyter Notebook,medical,"Extract structured patient data (age, treatment, specialty) and ICD-10 codes from free-text medical transcriptions using the OpenAI API. Demonstrates function calling, data processing with pandas, and",2025-09-25,2025-10-29,none shown,yes,
AfreenAhmed405/Vet-Report-Insight,https://github.com/AfreenAhmed405/Vet-Report-Insight,1,0,Jupyter Notebook,medical,This project extracts specific veterinary biomarker values and detailed text from PDF medical reports using a local LLM API. It automates data extraction based on a CSV input and outputs structured re,2025-05-09,2025-06-27,none shown,yes,pdf;eval
kalke/personal-document-extractor,https://github.com/kalke/personal-document-extractor,1,0,Go,invoices/finance,"Go API: LLM document extraction (Brazilian IDs, address proofs, invoices) → structured JSON",2026-07-29,2026-08-12,none shown,yes,batch;pdf;ocr_vision
dilipsurawat/AI-Powered-Emergency-Triage-and-Hospital-Routing-System,https://github.com/dilipsurawat/AI-Powered-Emergency-Triage-and-Hospital-Routing-System,1,0,HTML,medical,"A production-ready AI emergency triage and automated hospital routing platform for Indore city. It leverages Gemini LLM to parse unstructured, multilingual voice/text inputs into structured clinical d",2026-07-04,2026-07-08,none shown,yes,
paquitopg/LLM-KG,https://github.com/paquitopg/LLM-KG,1,0,Python,knowledge graph,"A comprehensive framework for extracting structured knowledge graphs from PDF documents using LLMs. Text-based and multimodal extraction,  entity merging and ontology-aware processing.",2025-09-25,2025-12-04,none shown,yes,batch;pdf;ocr_vision;eval
